time,equity
2023-01-02 22:00:00+00:00,100000.0
2023-01-03 02:00:00+00:00,100000.0
2023-01-03 06:00:00+00:00,100000.0
2023-01-03 10:00:00+00:00,100000.0
2023-01-03 14:00:00+00:00,100000.0
2023-01-03 18:00:00+00:00,100000.0
2023-01-03 22:00:00+00:00,100000.0
2023-01-04 02:00:00+00:00,100000.0
2023-01-04 06:00:00+00:00,100000.0
2023-01-04 10:00:00+00:00,100000.0
2023-01-04 14:00:00+00:00,100000.0
2023-01-04 18:00:00+00:00,100000.0
2023-01-04 22:00:00+00:00,100000.0
2023-01-05 02:00:00+00:00,100000.0
2023-01-05 06:00:00+00:00,100000.0
2023-01-05 10:00:00+00:00,100000.0
2023-01-05 14:00:00+00:00,100000.0
2023-01-05 18:00:00+00:00,100000.0
2023-01-05 22:00:00+00:00,100000.0
2023-01-06 02:00:00+00:00,100000.0
2023-01-06 06:00:00+00:00,100000.0
2023-01-06 10:00:00+00:00,100000.0
2023-01-06 14:00:00+00:00,100000.0
2023-01-06 18:00:00+00:00,100000.0
2023-01-08 22:00:00+00:00,100000.0
2023-01-09 02:00:00+00:00,100000.0
2023-01-09 06:00:00+00:00,100000.0
2023-01-09 10:00:00+00:00,100000.0
2023-01-09 14:00:00+00:00,100000.0
2023-01-09 18:00:00+00:00,100000.0
2023-01-09 22:00:00+00:00,100000.0
2023-01-10 02:00:00+00:00,100000.0
2023-01-10 06:00:00+00:00,100000.0
2023-01-10 10:00:00+00:00,100000.0
2023-01-10 14:00:00+00:00,100000.0
2023-01-10 18:00:00+00:00,100000.0
2023-01-10 22:00:00+00:00,100000.0
2023-01-11 02:00:00+00:00,100000.0
2023-01-11 06:00:00+00:00,100000.0
2023-01-11 10:00:00+00:00,100000.0
2023-01-11 14:00:00+00:00,100000.0
2023-01-11 18:00:00+00:00,100000.0
2023-01-11 22:00:00+00:00,100000.0
2023-01-12 02:00:00+00:00,100000.0
2023-01-12 06:00:00+00:00,100000.0
2023-01-12 10:00:00+00:00,100000.0
2023-01-12 14:00:00+00:00,100000.0
2023-01-12 18:00:00+00:00,100000.0
2023-01-12 22:00:00+00:00,100000.0
2023-01-13 02:00:00+00:00,100000.0
2023-01-13 06:00:00+00:00,100000.0
2023-01-13 10:00:00+00:00,100000.0
2023-01-13 14:00:00+00:00,100000.0
2023-01-13 18:00:00+00:00,100000.0
2023-01-15 22:00:00+00:00,100000.0
2023-01-16 02:00:00+00:00,100000.0
2023-01-16 06:00:00+00:00,100000.0
2023-01-16 10:00:00+00:00,100000.0
2023-01-16 14:00:00+00:00,100000.0
2023-01-16 18:00:00+00:00,100000.0
2023-01-16 22:00:00+00:00,100000.0
2023-01-17 02:00:00+00:00,100000.0
2023-01-17 06:00:00+00:00,100000.0
2023-01-17 10:00:00+00:00,100000.0
2023-01-17 14:00:00+00:00,100000.0
2023-01-17 18:00:00+00:00,100000.0
2023-01-17 22:00:00+00:00,100000.0
2023-01-18 02:00:00+00:00,100000.0
2023-01-18 06:00:00+00:00,100000.0
2023-01-18 10:00:00+00:00,100000.0
2023-01-18 14:00:00+00:00,100000.0
2023-01-18 18:00:00+00:00,100000.0
2023-01-18 22:00:00+00:00,100000.0
2023-01-19 02:00:00+00:00,100000.0
2023-01-19 06:00:00+00:00,100000.0
2023-01-19 10:00:00+00:00,100000.0
2023-01-19 14:00:00+00:00,100000.0
2023-01-19 18:00:00+00:00,100000.0
2023-01-19 22:00:00+00:00,100000.0
2023-01-20 02:00:00+00:00,100000.0
2023-01-20 06:00:00+00:00,100000.0
